01-jan-15;GUARAPIRANGA, AV.;GUIDO CALOI, AV.;;18:52;20:35
01-jan-15;RAIMUNDO PEREIRA DE MAGALHAES, AV.;ALTURA DO N. 12000;;18:20;22:42
01-jan-15;MARGINAL TIETÊ;PTE. CRUZEIRO DO SUL;;22:26;1:50
